id,name,latitude,longitude
1,Самара,53.2001,50.15
2,Москва,55°45'07.21,37°36'56.218
3,Сызрань,53.1585,48.4681
4,Саратов,51.5406,46.0086
5,Мурманск,68°58'45.676,33°05'33.6768
6,Киров,58°35'47.2011,49°39'36.120
7,Казань,47.91306,49.1
8,Челябинск,55.160283,61.400856
9,Владивосток,43.1056,131.874
11,Ростов,47.2313,39.7233
12,Екатеринбург,56°51'06.78,60°36'43.678
13,Рязань,54.6269,39.6916
14,Тольятти,53.530300,49.34610
